stem,model_psnr,model_ssim,model_lpips,baseline_psnr,baseline_ssim,baseline_lpips
000586,22.279164791107178,0.5805811882019043,0.2736092805862427,21.118052005767822,0.5473791360855103,0.3909095525741577
000587,21.384403705596924,0.5164231061935425,0.4075837731361389,20.24674415588379,0.48449206352233887,0.6334475874900818
000597,21.81708335876465,0.4225725829601288,0.5298433899879456,19.76084589958191,0.3591758906841278,0.7737678289413452
000601,30.27698516845703,0.7373572587966919,0.4348722994327545,18.744038343429565,0.18131770193576813,0.6790847778320312
000607,22.90816068649292,0.5196545124053955,0.45557016134262085,19.378002882003784,0.4115865230560303,0.6046617031097412
000611,22.96443223953247,0.8655433058738708,0.13036663830280304,19.618161916732788,0.7441022396087646,0.18038934469223022
000625,26.963062286376953,0.8432035446166992,0.2169261872768402,20.31209945678711,0.5632740259170532,0.4295679032802582
000627,23.948166370391846,0.420971542596817,0.49731382727622986,21.41183853149414,0.34765854477882385,0.7438138723373413
000629,23.13969612121582,0.36469435691833496,0.6239487528800964,19.33072566986084,0.27971571683883667,0.772426187992096
000665,27.791128158569336,0.7799206972122192,0.1762152761220932,22.455244064331055,0.47372743487358093,0.516119122505188
000672,22.78707504272461,0.6253424882888794,0.32917481660842896,21.584889888763428,0.5914456248283386,0.36013558506965637
000680,23.597915172576904,0.5356270670890808,0.2654901146888733,20.153965950012207,0.405004620552063,0.6077005863189697
000696,24.46690082550049,0.7406634092330933,0.26299265027046204,21.529362201690674,0.6086976528167725,0.38972359895706177
000704,27.764503955841064,0.8225301504135132,0.1994033306837082,22.621045112609863,0.5717145800590515,0.4222249686717987
000728,23.130648136138916,0.6132924556732178,0.265272319316864,19.29080605506897,0.46846914291381836,0.4451373219490051
000739,22.74423122406006,0.5564528703689575,0.36212748289108276,20.273282527923584,0.43951284885406494,0.5030792951583862
000741,23.838214874267578,0.5405503511428833,0.4060296416282654,19.89644169807434,0.399536669254303,0.5626336336135864
000744,21.565747261047363,0.37835729122161865,0.46281734108924866,20.0060772895813,0.30552464723587036,0.8313538432121277
000747,23.344204425811768,0.5322863459587097,0.3257926106452942,19.961576461791992,0.3980211615562439,0.5223847031593323
000750,24.796977043151855,0.5640959739685059,0.4085063338279724,21.28192901611328,0.451998233795166,0.4993254244327545
000763,25.144548416137695,0.5781328678131104,0.2594386339187622,19.679415225982666,0.4250665307044983,0.4783586859703064
000767,20.473318099975586,0.5272624492645264,0.5436171889305115,19.880787134170532,0.4941861629486084,0.616216778755188
000777,24.704813957214355,0.589145302772522,0.24083608388900757,19.30228352546692,0.3737197518348694,0.6488748788833618
000791,24.854278564453125,0.8140221834182739,0.25213944911956787,18.935757875442505,0.5014011859893799,0.46517449617385864
000793,29.954864978790283,0.6963331699371338,0.692603588104248,23.094606399536133,0.4187816381454468,0.6172027587890625
000795,27.54822015762329,0.8023905754089355,0.3228006362915039,22.24431276321411,0.5767258405685425,0.43193554878234863
000796,28.57470989227295,0.8343275785446167,0.24656721949577332,22.933197021484375,0.6151474714279175,0.4035506844520569
000799,24.19076681137085,0.6878944039344788,0.42647743225097656,20.03164768218994,0.542331337928772,0.43703651428222656
000800,24.28729772567749,0.7127572298049927,0.39035123586654663,21.07285737991333,0.6070969700813293,0.35689765214920044
000803,29.634714126586914,0.8771228194236755,0.21073906123638153,20.63349485397339,0.40577566623687744,0.5455267429351807
000814,22.228140830993652,0.5047609806060791,0.33467793464660645,20.0773024559021,0.4306034445762634,0.5882340669631958
000821,16.167750358581543,0.69696044921875,0.2623642683029175,15.472077131271362,0.6720093488693237,0.32750847935676575
000828,24.191880226135254,0.7799425721168518,0.30022215843200684,20.373082160949707,0.6382666826248169,0.32669132947921753
000834,26.71543836593628,0.7963122129440308,0.2492384910583496,21.603941917419434,0.5950695276260376,0.4029998183250427
000867,22.82433271408081,0.4321860373020172,0.34501004219055176,19.616925716400146,0.33844244480133057,0.6258225440979004
000875,26.28584384918213,0.5333657264709473,0.25836044549942017,21.0184383392334,0.30921947956085205,0.6442351937294006
000886,18.898706436157227,0.6486364603042603,0.3479662835597992,17.73026943206787,0.6213101744651794,0.36171579360961914
000906,21.18016004562378,0.49690186977386475,0.4744222164154053,19.485946893692017,0.46216094493865967,0.5516732335090637
000937,25.376219749450684,0.6807898283004761,0.6586740016937256,20.381314754486084,0.48360711336135864,0.5204477310180664
000946,28.84763240814209,0.6740816235542297,0.7896900773048401,22.92001247406006,0.45950090885162354,0.575749397277832
000971,30.732946395874023,0.7910353541374207,0.6004859805107117,20.442991256713867,0.33197182416915894,0.730341911315918
000973,23.619606494903564,0.6757380962371826,0.3311127722263336,22.419705390930176,0.6276029348373413,0.40585052967071533
000996,18.577864170074463,0.7689306735992432,0.293038010597229,17.71411895751953,0.7447236776351929,0.23094096779823303
001011,26.842379570007324,0.7882081270217896,0.2572496831417084,23.404648303985596,0.6823292970657349,0.2922787666320801
001042,25.752737522125244,0.7365056872367859,0.24881049990653992,24.46880340576172,0.6953263878822327,0.331758975982666
001064,27.151823043823242,0.8540966510772705,0.1937635987997055,20.512211322784424,0.5243570804595947,0.48513221740722656
001071,25.213277339935303,0.6863089203834534,0.3537020683288574,20.19137144088745,0.4783293604850769,0.44769012928009033
001073,24.619369506835938,0.7589232921600342,0.35736146569252014,20.790464878082275,0.6206393241882324,0.3686539828777313
001076,17.47942090034485,0.5909439921379089,0.37387147545814514,16.505098342895508,0.570389449596405,0.4299776256084442
001078,30.30022144317627,0.8154308795928955,0.34348756074905396,24.421865940093994,0.5388431549072266,0.44959622621536255
001085,25.506587028503418,0.7839928269386292,0.3646881878376007,22.747790813446045,0.7003133296966553,0.29226571321487427
001116,21.71849012374878,0.7767494320869446,0.34026211500167847,19.775487184524536,0.7215734720230103,0.2653438448905945
001122,32.61410713195801,0.8667747974395752,0.5638335347175598,22.755086421966553,0.4188806414604187,0.6510695815086365
001138,26.938276290893555,0.7925041913986206,0.350364625453949,24.398629665374756,0.7235867977142334,0.28951385617256165
001152,27.12794780731201,0.8282580375671387,0.21343514323234558,22.49002695083618,0.6552493572235107,0.33981770277023315
001154,27.258100509643555,0.8316219449043274,0.18021135032176971,22.543325424194336,0.6519820690155029,0.30417579412460327
001159,18.3625590801239,0.5889809131622314,0.3247573673725128,17.330021858215332,0.5710649490356445,0.41785094141960144
001160,18.665963411331177,0.5942250490188599,0.3989892303943634,17.651422023773193,0.5704653263092041,0.45350855588912964
001165,23.064579963684082,0.34250330924987793,0.5826842784881592,19.856280088424683,0.25404196977615356,0.8059638738632202
001169,25.71830987930298,0.8160933256149292,0.1402842104434967,21.409831047058105,0.6399404406547546,0.2973911464214325
001179,24.497125148773193,0.7409063577651978,0.2326684147119522,19.950214624404907,0.5576774477958679,0.360160231590271
001192,31.312248706817627,0.829074501991272,0.26193511486053467,22.90395975112915,0.48615050315856934,0.4989386200904846
